Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 349 K,Sistematic errors [cm^5 molecule^-2]
4069,4.172e-44,2.31e-45
4070,4.223e-44,2.33e-45
4071,4.277e-44,2.35e-45
4072,4.328e-44,2.37e-45
4073,4.384e-44,2.38e-45
4074,4.441e-44,2.4e-45
4075,4.499e-44,2.42e-45
4076,4.552e-44,2.44e-45
4077,4.597e-44,2.46e-45
4078,4.652e-44,2.48e-45
4079,4.712e-44,2.5e-45
4080,4.775e-44,2.52e-45
4081,4.834e-44,2.54e-45
4082,4.89e-44,2.56e-45
4083,4.936e-44,2.57e-45
4084,4.993e-44,2.59e-45
4085,5.043e-44,2.61e-45
4086,5.105e-44,2.63e-45
4087,5.172e-44,2.65e-45
4088,5.233e-44,2.68e-45
4089,5.287e-44,2.69e-45
4090,5.329e-44,2.71e-45
4091,5.384e-44,2.73e-45
4092,5.446e-44,2.75e-45
4093,5.503e-44,2.77e-45
4094,5.563e-44,2.79e-45
4095,5.621e-44,2.81e-45
4096,5.676e-44,2.83e-45
4097,5.733e-44,2.85e-45
4098,5.785e-44,2.87e-45
4099,5.842e-44,2.89e-45
4100,5.898e-44,2.91e-45
4101,5.953e-44,2.93e-45
4102,6.002e-44,2.94e-45
4103,6.06e-44,2.96e-45
4104,6.125e-44,2.98e-45
4105,6.182e-44,3.01e-45
4106,6.237e-44,3.03e-45
4107,6.292e-44,3.04e-45
4108,6.344e-44,3.06e-45
4109,6.398e-44,3.08e-45
4110,6.448e-44,3.1e-45
4111,6.494e-44,3.12e-45
4112,6.548e-44,3.13e-45
4113,6.599e-44,3.15e-45
4114,6.651e-44,3.17e-45
4115,6.705e-44,3.19e-45
4116,6.763e-44,3.21e-45
4117,6.809e-44,3.23e-45
4118,6.854e-44,3.24e-45
4119,6.899e-44,3.26e-45
4120,6.951e-44,3.28e-45
4121,7.004e-44,3.3e-45
4122,7.048e-44,3.31e-45
4123,7.081e-44,3.32e-45
4124,7.11e-44,3.33e-45
4125,7.099e-44,3.32e-45
4126,7.106e-44,3.31e-45
4127,7.211e-44,3.36e-45
4128,7.296e-44,3.4e-45
4129,7.351e-44,3.42e-45
4130,7.396e-44,3.43e-45
4131,7.433e-44,3.45e-45
4132,7.476e-44,3.46e-45
4133,7.518e-44,3.48e-45
4134,7.552e-44,3.49e-45
4135,7.586e-44,3.5e-45
4136,7.624e-44,3.52e-45
4137,7.675e-44,3.53e-45
4138,7.723e-44,3.55e-45
4139,7.756e-44,3.56e-45
4140,7.782e-44,3.57e-45
4141,7.817e-44,3.58e-45
4142,7.834e-44,3.59e-45
4143,7.821e-44,3.57e-45
4144,7.897e-44,3.6e-45
4145,8.004e-44,3.64e-45
4146,8.059e-44,3.66e-45
4147,8.095e-44,3.68e-45
4148,8.124e-44,3.69e-45
4149,8.136e-44,3.69e-45
4150,8.154e-44,3.7e-45
4151,8.162e-44,3.71e-45
4152,8.155e-44,3.71e-45
4153,8.132e-44,3.7e-45
4154,7.966e-44,3.63e-45
4155,7.67e-44,3.47e-45
4156,7.864e-44,3.55e-45
4157,8.124e-44,3.69e-45
4158,8.203e-44,3.72e-45
4159,8.232e-44,3.73e-45
4160,8.206e-44,3.72e-45
4161,8.149e-44,3.69e-45
4162,8.176e-44,3.71e-45
4163,8.192e-44,3.73e-45
4164,8.185e-44,3.73e-45
4165,8.168e-44,3.72e-45
4166,8.154e-44,3.72e-45
4167,8.139e-44,3.72e-45
4168,8.12e-44,3.71e-45
4169,8.104e-44,3.71e-45
4170,8.092e-44,3.71e-45
4171,8.085e-44,3.71e-45
4172,8.073e-44,3.7e-45
