Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 498 K,Sistematic errors [cm^5 molecule^-2]
3193,0,2.46e-45
3194,0,2.45e-45
3195,0,2.45e-45
3196,0,2.46e-45
3197,0,2.47e-45
3198,0,2.48e-45
3199,0,2.47e-45
3200,0,2.46e-45
3201,0,2.46e-45
3202,0,2.47e-45
3203,0,2.47e-45
3204,0,2.47e-45
3205,0,2.45e-45
3206,0,2.45e-45
3207,0,2.45e-45
3208,0,2.46e-45
3209,0,2.48e-45
3210,0,2.48e-45
3211,0,2.47e-45
3212,0,2.46e-45
3213,0,2.47e-45
3214,0,2.48e-45
3215,0,2.48e-45
3216,0,2.47e-45
3217,0,2.47e-45
3218,0,2.47e-45
3219,0,2.49e-45
3220,0,2.49e-45
3221,0,2.48e-45
3222,0,2.47e-45
3223,0,2.46e-45
3224,0,2.46e-45
3225,0,2.47e-45
3226,0,2.47e-45
3227,0,2.48e-45
3228,0,2.49e-45
3229,0,2.5e-45
3230,0,2.52e-45
3231,0,2.52e-45
3232,0,2.5e-45
3233,0,2.49e-45
3234,0,2.48e-45
3235,0,2.47e-45
3236,0,2.48e-45
3237,0,2.48e-45
3238,0,2.47e-45
3239,0,2.47e-45
3240,0,2.48e-45
3241,0,2.47e-45
3242,0,2.48e-45
3243,0,2.48e-45
3244,0,2.49e-45
3245,0,2.51e-45
3246,0,2.5e-45
3247,0,2.49e-45
3248,0,2.48e-45
3249,0,2.47e-45
3250,0,2.47e-45
3251,0,2.47e-45
3252,0,2.48e-45
3253,0,2.49e-45
3254,0,2.51e-45
3255,0,2.51e-45
3256,0,2.53e-45
3257,0,2.52e-45
3258,0,2.51e-45
3259,0,2.49e-45
3260,0,2.49e-45
3261,0,2.49e-45
3262,0,2.48e-45
3263,0,2.48e-45
3264,0,2.49e-45
3265,0,2.49e-45
3266,0,2.49e-45
3267,0,2.48e-45
3268,0,2.48e-45
3269,0,2.48e-45
3270,0,2.49e-45
3271,0,2.5e-45
3272,0,2.5e-45
3273,0,2.52e-45
3274,0,2.54e-45
3275,0,2.53e-45
3276,0,2.54e-45
3277,0,2.54e-45
3278,0,2.52e-45
3279,0,2.53e-45
3280,0,2.51e-45
3281,0,2.5e-45
3282,0,2.53e-45
3283,0,2.61e-45
3284,0,2.6e-45
3996,2.531e-44,3.38e-45
3997,2.406e-44,3.27e-45
3998,2.408e-44,3.25e-45
3999,2.428e-44,3.21e-45
4000,2.449e-44,3.17e-45
4001,2.469e-44,3.05e-45
4002,2.489e-44,2.99e-45
4003,2.509e-44,2.96e-45
4004,2.53e-44,3.13e-45
4005,2.55e-44,3.28e-45
4006,2.57e-44,3.32e-45
4007,2.59e-44,3.33e-45
4008,2.62e-44,3.39e-45
4009,2.677e-44,3.4e-45
4010,2.688e-44,3.35e-45
4011,2.677e-44,3.35e-45
4012,2.685e-44,3.35e-45
4013,2.707e-44,3.3e-45
4014,2.729e-44,3.26e-45
4015,2.75e-44,3.25e-45
4016,2.772e-44,3.2e-45
4017,2.794e-44,3.19e-45
4018,2.816e-44,3.27e-45
4019,2.837e-44,3.34e-45
4020,2.859e-44,3.37e-45
4021,2.881e-44,3.39e-45
4022,2.903e-44,3.4e-45
4023,2.93e-44,1.04e-44
4024,3.01e-44,1.04e-44
4025,3.11e-44,1.04e-44
4026,3.19e-44,1.04e-44
4027,3.37e-44,1.04e-44
4028,3.89e-44,1.04e-44
4029,3.29e-44,1.04e-44
4030,2.9e-44,1.04e-44
4031,3.08e-44,1.04e-44
4032,3.19e-44,1.04e-44
4033,3.277e-44,3.52e-45
4034,3.311e-44,3.52e-45
4035,3.345e-44,3.54e-45
4036,3.378e-44,3.5e-45
4037,3.412e-44,3.48e-45
4038,3.445e-44,3.45e-45
4039,3.479e-44,3.47e-45
4040,3.513e-44,3.46e-45
4041,3.546e-44,3.52e-45
4042,3.58e-44,3.57e-45
4043,3.614e-44,3.58e-45
4044,3.647e-44,3.6e-45
4045,3.681e-44,3.64e-45
4046,3.715e-44,3.61e-45
4047,3.748e-44,3.63e-45
4048,3.782e-44,3.66e-45
4049,3.824e-44,3.67e-45
4050,3.883e-44,3.7e-45
4051,3.923e-44,3.72e-45
4052,3.937e-44,3.72e-45
4053,3.956e-44,3.72e-45
4054,3.994e-44,3.72e-45
4055,4.053e-44,3.74e-45
4056,4.073e-44,3.74e-45
4057,4.088e-44,3.75e-45
4058,4.141e-44,3.77e-45
4059,4.186e-44,3.79e-45
4060,4.253e-44,3.83e-45
4061,4.293e-44,3.84e-45
4062,4.317e-44,3.84e-45
4063,4.346e-44,3.84e-45
4064,4.368e-44,3.84e-45
4065,4.411e-44,3.85e-45
4066,4.451e-44,3.86e-45
4067,4.482e-44,3.87e-45
