Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 399 K,Sistematic errors [cm^5 molecule^-2]
3193,0,2.23e-45
3194,0,2.23e-45
3195,0,2.23e-45
3196,0,2.23e-45
3197,0,2.23e-45
3198,0,2.23e-45
3199,0,2.23e-45
3200,0,2.23e-45
3201,0,2.23e-45
3202,0,2.23e-45
3203,0,2.23e-45
3204,0,2.23e-45
3205,0,2.23e-45
3206,0,2.23e-45
3207,0,2.23e-45
3208,0,2.23e-45
3209,0,2.23e-45
3210,0,2.23e-45
3211,0,2.23e-45
3212,0,2.23e-45
3213,0,2.23e-45
3214,0,2.23e-45
3215,0,2.23e-45
3216,0,2.23e-45
3217,0,2.23e-45
3218,0,2.23e-45
3219,0,2.23e-45
3220,0,2.23e-45
3221,0,2.23e-45
3222,0,2.23e-45
3223,0,2.23e-45
3224,0,2.23e-45
3225,0,2.23e-45
3226,0,2.23e-45
3227,0,2.23e-45
3228,0,2.23e-45
3229,0,2.23e-45
3230,0,2.23e-45
3231,0,2.23e-45
3232,0,2.23e-45
3233,0,2.23e-45
3234,0,2.23e-45
3235,0,2.23e-45
3236,0,2.23e-45
3237,0,2.23e-45
3238,0,2.23e-45
3239,0,2.23e-45
3240,0,2.23e-45
3241,0,2.23e-45
3242,0,2.23e-45
3243,0,2.23e-45
3244,0,2.23e-45
3245,0,2.23e-45
3246,0,2.23e-45
3247,0,2.23e-45
3248,0,2.23e-45
3249,0,2.23e-45
3250,0,2.23e-45
3251,0,2.23e-45
3252,0,2.23e-45
3253,0,2.23e-45
3254,0,2.23e-45
3255,0,2.23e-45
3256,0,2.23e-45
3257,0,2.23e-45
3258,0,2.23e-45
3259,0,2.23e-45
3260,0,2.23e-45
3261,0,2.23e-45
3262,0,2.23e-45
3263,0,2.23e-45
3264,0,2.23e-45
3265,0,2.23e-45
3266,0,2.23e-45
3267,0,2.23e-45
3268,0,2.23e-45
3269,0,2.23e-45
3270,0,2.23e-45
3271,0,2.23e-45
3272,0,2.23e-45
3273,0,2.23e-45
3274,0,2.23e-45
3275,0,2.23e-45
3276,0,2.23e-45
3277,0,2.23e-45
3278,0,2.23e-45
3279,0,2.23e-45
3280,0,2.23e-45
3281,0,2.23e-45
3282,0,2.23e-45
3283,0,2.23e-45
3284,0,2.23e-45
3977,1.675e-44,2.74e-45
3978,1.611e-44,2.73e-45
3979,1.631e-44,2.73e-45
3980,1.676e-44,2.74e-45
3981,1.692e-44,2.75e-45
3982,1.707e-44,2.75e-45
3983,1.7e-44,2.75e-45
3984,1.708e-44,2.76e-45
3985,1.73e-44,2.76e-45
3986,1.742e-44,2.77e-45
3987,1.762e-44,2.77e-45
3988,1.786e-44,2.78e-45
3989,1.868e-44,2.8e-45
3990,1.968e-44,2.83e-45
3991,1.952e-44,2.83e-45
3992,1.915e-44,2.82e-45
3993,1.922e-44,2.82e-45
3994,1.946e-44,2.83e-45
3995,1.988e-44,2.84e-45
3996,1.979e-44,2.84e-45
3997,1.98e-44,2.84e-45
3998,2.002e-44,2.84e-45
3999,2.027e-44,2.85e-45
4000,2.059e-44,2.86e-45
4001,2.106e-44,2.87e-45
4002,2.122e-44,2.88e-45
4003,2.15e-44,2.89e-45
4004,2.147e-44,2.89e-45
4005,2.168e-44,2.89e-45
4006,2.188e-44,2.9e-45
4007,2.215e-44,2.91e-45
4008,2.26e-44,2.92e-45
4009,2.288e-44,2.93e-45
4010,2.291e-44,2.93e-45
4011,2.312e-44,2.94e-45
4012,2.342e-44,2.95e-45
4013,2.376e-44,2.96e-45
4014,2.407e-44,2.97e-45
4015,2.436e-44,2.98e-45
4016,2.466e-44,2.99e-45
4017,2.502e-44,3e-45
4018,2.522e-44,3e-45
4019,2.553e-44,3.01e-45
4020,2.587e-44,3.02e-45
4021,2.615e-44,3.03e-45
4022,2.657e-44,3.04e-45
4023,2.696e-44,2.63e-45
4024,2.751e-44,2.63e-45
4025,2.806e-44,2.63e-45
4026,2.851e-44,2.63e-45
4027,2.914e-44,2.63e-45
4028,3.041e-44,2.63e-45
4029,2.872e-44,2.63e-45
4030,2.805e-44,2.63e-45
4031,2.885e-44,3.11e-45
4032,2.944e-44,3.13e-45
4033,2.994e-44,3.14e-45
4034,3.04e-44,3.16e-45
4035,3.074e-44,3.17e-45
4036,3.114e-44,3.18e-45
4037,3.149e-44,3.19e-45
4038,3.183e-44,3.2e-45
4039,3.228e-44,3.22e-45
4040,3.269e-44,3.23e-45
4041,3.307e-44,3.24e-45
4042,3.352e-44,3.25e-45
4043,3.402e-44,3.27e-45
4044,3.462e-44,3.29e-45
4045,3.501e-44,3.3e-45
4046,3.519e-44,3.3e-45
4047,3.544e-44,3.31e-45
4048,3.587e-44,3.32e-45
4049,3.627e-44,3.34e-45
4050,3.674e-44,3.35e-45
4051,3.715e-44,3.36e-45
4052,3.76e-44,3.38e-45
4053,3.798e-44,3.39e-45
4054,3.842e-44,3.4e-45
4055,3.889e-44,3.42e-45
4056,3.918e-44,3.43e-45
4057,3.964e-44,3.44e-45
4058,4.017e-44,3.46e-45
4059,4.067e-44,3.47e-45
4060,4.117e-44,3.49e-45
4061,4.161e-44,3.5e-45
4062,4.201e-44,3.51e-45
4063,4.249e-44,3.53e-45
4064,4.296e-44,3.54e-45
4065,4.336e-44,3.56e-45
4066,4.378e-44,3.57e-45
4067,4.425e-44,3.59e-45
4068,4.481e-44,3.6e-45
4069,4.523e-44,3.62e-45
4070,4.571e-44,3.63e-45
4071,4.627e-44,3.65e-45
4072,4.668e-44,3.66e-45
4073,4.719e-44,3.68e-45
4074,4.778e-44,3.69e-45
4075,4.836e-44,3.71e-45
4076,4.883e-44,3.73e-45
4077,4.929e-44,3.74e-45
4078,4.981e-44,3.76e-45
4079,5.039e-44,3.78e-45
4080,5.085e-44,3.79e-45
4081,5.13e-44,3.81e-45
4082,5.178e-44,3.82e-45
4083,5.227e-44,3.84e-45
4084,5.28e-44,3.85e-45
4085,5.321e-44,3.87e-45
4086,5.373e-44,3.89e-45
4087,5.438e-44,3.91e-45
4088,5.5e-44,3.92e-45
4089,5.542e-44,3.94e-45
4090,5.581e-44,3.95e-45
4091,5.632e-44,3.97e-45
4092,5.681e-44,3.98e-45
4093,5.734e-44,4e-45
4094,5.777e-44,4.01e-45
4095,5.823e-44,4.03e-45
4096,5.87e-44,4.04e-45
4097,5.93e-44,4.06e-45
4098,5.976e-44,4.08e-45
4099,6.023e-44,4.09e-45
4100,6.069e-44,4.11e-45
4101,6.114e-44,4.12e-45
4102,6.16e-44,4.14e-45
4103,6.207e-44,4.15e-45
4104,6.266e-44,4.17e-45
4105,6.325e-44,4.19e-45
4106,6.379e-44,4.21e-45
4107,6.416e-44,4.22e-45
4108,6.453e-44,4.23e-45
4109,6.499e-44,4.25e-45
4110,6.542e-44,4.27e-45
4111,6.583e-44,4.28e-45
4112,6.629e-44,4.29e-45
4113,6.669e-44,4.31e-45
4114,6.714e-44,4.32e-45
4115,6.753e-44,4.33e-45
4116,6.795e-44,4.35e-45
4117,6.841e-44,4.36e-45
4118,6.885e-44,4.38e-45
4119,6.926e-44,4.39e-45
4120,6.967e-44,4.41e-45
4121,7.009e-44,4.42e-45
4122,7.046e-44,4.43e-45
4123,7.073e-44,4.44e-45
4124,7.087e-44,4.45e-45
4125,7.055e-44,4.43e-45
4126,7.031e-44,4.41e-45
4127,7.145e-44,4.46e-45
4128,7.226e-44,4.49e-45
4129,7.278e-44,4.51e-45
4130,7.32e-44,4.52e-45
4131,7.356e-44,4.54e-45
4132,7.39e-44,4.55e-45
4133,7.429e-44,4.56e-45
4134,7.461e-44,4.57e-45
4135,7.488e-44,4.58e-45
4136,7.512e-44,4.59e-45
4137,7.549e-44,4.6e-45
4138,7.592e-44,4.62e-45
4139,7.612e-44,4.63e-45
4140,7.64e-44,4.63e-45
4141,7.66e-44,4.64e-45
4142,7.666e-44,4.64e-45
4143,7.625e-44,4.62e-45
4144,7.677e-44,4.63e-45
4145,7.794e-44,4.68e-45
4146,7.848e-44,4.7e-45
4147,7.872e-44,4.71e-45
4148,7.899e-44,4.72e-45
4149,7.917e-44,4.72e-45
4150,7.927e-44,4.73e-45
4151,7.92e-44,4.73e-45
4152,7.926e-44,4.74e-45
