Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 451 K,Sistematic errors [cm^5 molecule^-2]
3193,0,1.63e-45
3194,0,1.63e-45
3195,0,1.63e-45
3196,0,1.63e-45
3197,0,1.63e-45
3198,0,1.64e-45
3199,0,1.63e-45
3200,0,1.63e-45
3201,0,1.63e-45
3202,0,1.63e-45
3203,0,1.63e-45
3204,0,1.63e-45
3205,0,1.63e-45
3206,0,1.63e-45
3207,0,1.63e-45
3208,0,1.63e-45
3209,0,1.63e-45
3210,0,1.64e-45
3211,0,1.63e-45
3212,0,1.63e-45
3213,0,1.63e-45
3214,0,1.64e-45
3215,0,1.63e-45
3216,0,1.63e-45
3217,0,1.63e-45
3218,0,1.63e-45
3219,0,1.64e-45
3220,0,1.64e-45
3221,0,1.63e-45
3222,0,1.63e-45
3223,0,1.63e-45
3224,0,1.63e-45
3225,0,1.63e-45
3226,0,1.63e-45
3227,0,1.64e-45
3228,0,1.64e-45
3229,0,1.64e-45
3230,0,1.64e-45
3231,0,1.64e-45
3232,0,1.64e-45
3233,0,1.64e-45
3234,0,1.63e-45
3235,0,1.63e-45
3236,0,1.63e-45
3237,0,1.63e-45
3238,0,1.63e-45
3239,0,1.63e-45
3240,0,1.63e-45
3241,0,1.63e-45
3242,0,1.63e-45
3243,0,1.63e-45
3244,0,1.64e-45
3245,0,1.65e-45
3246,0,1.64e-45
3247,0,1.64e-45
3248,0,1.63e-45
3249,0,1.63e-45
3250,0,1.63e-45
3251,0,1.63e-45
3252,0,1.63e-45
3253,0,1.64e-45
3254,0,1.65e-45
3255,0,1.64e-45
3256,0,1.65e-45
3257,0,1.64e-45
3258,0,1.64e-45
3259,0,1.64e-45
3260,0,1.64e-45
3261,0,1.64e-45
3262,0,1.64e-45
3263,0,1.64e-45
3264,0,1.64e-45
3265,0,1.64e-45
3266,0,1.64e-45
3267,0,1.64e-45
3268,0,1.63e-45
3269,0,1.64e-45
3270,0,1.64e-45
3271,0,1.64e-45
3272,0,1.64e-45
3273,0,1.65e-45
3274,0,1.66e-45
3275,0,1.65e-45
3276,0,1.65e-45
3277,2e-47,1.66e-45
3278,0,1.65e-45
3279,0,1.65e-45
3280,0,1.65e-45
3281,0,1.64e-45
3282,0,1.65e-45
3283,0,1.67e-45
3284,0,1.67e-45
3996,2.199e-44,2.5e-45
3997,2.194e-44,2.47e-45
3998,2.217e-44,2.48e-45
3999,2.25e-44,2.5e-45
4000,2.288e-44,2.52e-45
4001,2.372e-44,2.55e-45
4002,2.385e-44,2.56e-45
4003,2.43e-44,2.6e-45
4004,2.379e-44,2.56e-45
4005,2.365e-44,2.55e-45
4006,2.395e-44,2.55e-45
4007,2.42e-44,2.56e-45
4008,2.454e-44,2.59e-45
4009,2.483e-44,2.6e-45
4010,2.51e-44,2.59e-45
4011,2.526e-44,2.59e-45
4012,2.55e-44,2.6e-45
4013,2.583e-44,2.61e-45
4014,2.629e-44,2.64e-45
4015,2.668e-44,2.66e-45
4016,2.709e-44,2.68e-45
4017,2.74e-44,2.7e-45
4018,2.742e-44,2.68e-45
4019,2.756e-44,2.68e-45
4020,2.779e-44,2.69e-45
4021,2.805e-44,2.68e-45
4022,2.842e-44,5.82e-45
4023,2.888e-44,5.82e-45
4024,2.945e-44,5.82e-45
4025,3.005e-44,5.82e-45
4026,3.067e-44,5.82e-45
4027,3.183e-44,5.82e-45
4028,3.469e-44,5.82e-45
4029,3.111e-44,5.82e-45
4030,2.922e-44,5.82e-45
4031,3.05e-44,5.82e-45
