//Data for CIA of Ne-Ar at 2000 K
//First  column   : Frequency(cm^(-1))
//Second column   : Intensity(cm^(-1) amagat^(-2))
//Third  column   : +/- error


           5 2.57913924852469072151e-09 1.03165569940987635581e-10 
          10 1.02951653342542426312e-08 4.11806613370169709384e-10 
          15 2.30806429156805985075e-08 9.23225716627223977522e-10 
          20 4.08168514884431004576e-08 1.63267405953772411756e-09 
          25 6.33334612812083013023e-08 2.53333845124833195283e-09 
          30 9.04111063472647963369e-08 3.61644425389059198583e-09 
          35 1.21786218281987617279e-07 4.87144873127950498894e-09 
          40 1.57157095249987198964e-07 6.286283809999488124e-09 
          45 1.96190765241646940022e-07 7.84763060966587832879e-09 
          50 2.38529925366674949664e-07 9.54119701466699831743e-09 
          55 2.83799756306133220238e-07 1.13519902522453295375e-08 
          60 3.31614535472441549155e-07 1.32645814188976629588e-08 
          65 3.81583750475647914311e-07 1.52633500190259165724e-08 
          70 4.33317180775385824392e-07 1.73326872310154348286e-08 
          75 4.86429816312583602325e-07 1.94571926525033458136e-08 
          80 5.40546372410169909056e-07 2.16218548964067953035e-08 
          85 5.95304410757110923542e-07 2.38121764302844372064e-08 
          90 6.50357266625549756705e-07 2.6014290665021991724e-08 
          95 7.05376586790933780697e-07 2.82150634716373501691e-08 
         100 7.6005400021887197457e-07 3.04021600087548808357e-08 
         105 8.1410245633635782175e-07 3.25640982534543115465e-08 
         110 8.6725722746551935295e-07 3.46902890986207717357e-08 
115.000000000000014211 9.19276423488684916989e-07 3.67710569395473980031e-08 
         120 9.69941210087302425733e-07 3.8797648403492099941e-08 
124.999999999999985789 1.01905551518841253048e-06 4.07622206075365009545e-08 
         130 1.06644552091565407589e-06 4.26578208366261609178e-08 
         135 1.11195940313059629819e-06 4.4478376125223852457e-08 
         140 1.15546679891071546631e-06 4.62186719564286183877e-08 
         145 1.19685779243471183636e-06 4.78743116973884758365e-08 
         150 1.23604181965104569951e-06 4.94416727860418319508e-08 
         155 1.27294649595276057029e-06 5.09178598381104257232e-08 
         160 1.30751660429610711506e-06 5.23006641718442824849e-08 
         165 1.33971313915565265542e-06 5.35885255662261083345e-08 
         170 1.36951207507016211683e-06 5.47804830028064881142e-08 
         175 1.39690311276828935743e-06 5.58761245107315750911e-08 
         180 1.42188854466451878241e-06 5.68755417865807502377e-08 
         185 1.44448216300300790604e-06 5.77792865201203191534e-08 
         190 1.46470818784659681035e-06 5.85883275138638763846e-08 
         195 1.48260015154730464106e-06 5.93040060618921893481e-08 
         200 1.49819981463382402985e-06 5.99279925853529606646e-08 
         205 1.51155623243200152741e-06 6.04622492972800621554e-08 
         210 1.52272489388565344816e-06 6.09089957554261368676e-08 
214.999999999999971578 1.53176684336070558621e-06 6.12706737344282266246e-08 
         220 1.5387478267130698556e-06 6.15499130685227889301e-08 
         225 1.5437374993249323322e-06 6.17494999729972975232e-08 
230.000000000000028422 1.54680869299667183764e-06 6.18723477198668729763e-08 
         235 1.54803677047747736236e-06 6.19214708190990976708e-08 
         240 1.54749907835309039306e-06 6.1899963134123620487e-08 
245.000000000000028422 1.54527442260786643762e-06 6.18109769043146643868e-08 
249.999999999999971578 1.54144251605564502093e-06 6.1657700642225799249e-08 
         255 1.53608347016012624713e-06 6.14433388064050498852e-08 
         260 1.52927739769252479433e-06 6.11710959077009933613e-08 
         265 1.52110406825068794555e-06 6.08441627300275125281e-08 
