//Data for CIA of Ar-He at 295 K
//First  column   : Frequency(cm^(-1))
//Second column   : Intensity(cm^(-1) amagat^(-2))
//Third  column   : +/- error


           5 2.30449947478709848755e-09 2.07404952730838852506e-10 
          10 9.1710169645295179289e-09 8.25391526807656559835e-10 
          15 2.04731876432023142813e-08 1.84258688788820825223e-09 
          20 3.59994863164685685611e-08 3.23995376848217093889e-09 
          25 5.54573403936957199211e-08 4.99116063543261462746e-09 
          30 7.84853032109561280376e-08 7.06367728898605139103e-09 
          35 1.04668937723858572988e-07 9.42020439514727044393e-09 
          40 1.33556436346413024827e-07 1.20200792711771710433e-08 
          45 1.64674740616281922655e-07 1.48207266554653731051e-08 
          50 1.97544237235597765408e-07 1.7778981351203799019e-08 
          55 2.31689607132483929504e-07 2.08520646419235527289e-08 
          60 2.66651336753623263428e-07 2.39986203078260931791e-08 
          65 3.01994662937903690808e-07 2.71795196644113316433e-08 
          70 3.37314373089363168983e-07 3.03582935780426830909e-08 
          75 3.72238301044076293514e-07 3.35014470939668674751e-08 
          80 4.06431147541109156518e-07 3.65788032786998259395e-08 
          85 4.39597490716869175476e-07 3.95637741645182268516e-08 
          90 4.71480841240410466954e-07 4.24332757116369393789e-08 
          95 5.0186130054290536997e-07 4.51675170488614787974e-08 
         100 5.30555639800185530634e-07 4.77500075820166929925e-08 
         105 5.5741724670379018656e-07 5.01675522033411173198e-08 
         110 5.82333216986874824484e-07 5.24099895288187334094e-08 
115.000000000000014211 6.05220586078310813762e-07 5.44698527470479703269e-08 
         120 6.26023757547752926726e-07 5.63421381792977639347e-08 
124.999999999999985789 6.44712503569534664731e-07 5.80241253212581174435e-08 
         130 6.61279541420971489076e-07 5.95151587278874313698e-08 
         135 6.75737737575935537229e-07 6.08163963818341946448e-08 
         140 6.88117394677080359063e-07 6.19305655209372243747e-08 
         145 6.98463847362757636607e-07 6.2861746262648190471e-08 
         150 7.06835219383089089652e-07 6.36151697444780180687e-08 
         155 7.13300093041768287766e-07 6.41970083737591427226e-08 
         160 7.17935259782968076213e-07 6.46141733804671268592e-08 
         165 7.20824051187955813118e-07 6.48741646069160226513e-08 
         170 7.22055287515797905663e-07 6.49849758764218120391e-08 
         175 7.21722161431308155023e-07 6.4954994528817736599e-08 
         180 7.19920512281247927986e-07 6.47928461053123082248e-08 
         185 7.16746883664964252385e-07 6.45072195298467795382e-08 
         190 7.12297259341162585713e-07 6.41067533407046268909e-08 
         195 7.06666780811651779039e-07 6.36000102730486643487e-08 
         200 6.99949816883266725659e-07 6.29954835194940095445e-08 
         205 6.92239565632228006106e-07 6.23015609069005242553e-08 
         210 6.83627033339481406751e-07 6.152643300055332449e-08 
214.999999999999971578 6.74199937899536309417e-07 6.06779944109582710239e-08 
         220 6.64042134800627685757e-07 5.97637921320564911887e-08 
         225 6.53233660001228378648e-07 5.87910294001105506373e-08 
230.000000000000028422 6.41851012096055453797e-07 5.77665910886449913711e-08 
         235 6.29967254600862316609e-07 5.66970529140776082301e-08 
         240 6.17651822056346928226e-07 5.55886639850712240697e-08 
245.000000000000028422 6.04970214220857149641e-07 5.44473192798771394972e-08 
249.999999999999971578 5.91983822997990820007e-07 5.32785440698191693008e-08 
         255 5.78749983814873656104e-07 5.20874985433386295787e-08 
         260 5.65322162638207605139e-07 5.08789946374386810214e-08 
         265 5.51750131595567287635e-07 4.96575118436010542989e-08 
         270 5.38080060075538574257e-07 4.84272054067984685068e-08 
         275 5.24354558335052058771e-07 4.719191025015468476e-08 
         280 5.10612758442005551777e-07 4.59551482597804962188e-08 
         285 4.9689047846246202746e-07 4.47201430616215827361e-08 
         290 4.83220441318922324175e-07 4.3489839718703008117e-08 
         295 4.69632478854898064764e-07 4.22669230969408255641e-08 
         300 4.56153672817936251336e-07 4.10538305536142594439e-08 
         305 4.42808440926509345567e-07 3.98527596833858366011e-08 
         310 4.29618617696164114737e-07 3.86656755926547679441e-08 
         315 4.16603576862413649363e-07 3.74943219176172263251e-08 
         320 4.03780405285997465107e-07 3.63402364757397694774e-08 
         325 3.91164100917156435947e-07 3.52047690825440810881e-08 
         330 3.78767756468890025779e-07 3.40890980822001004673e-08 
         335 3.66602707103338959037e-07 3.29942436393005047251e-08 
         340 3.54678645461516282542e-07 3.19210780915364651641e-08 
         345 3.43003721043717050445e-07 3.0870334893934536393e-08 
         350 3.31584638175268743676e-07 2.98426174357741834897e-08 
         355 3.20426756448138083095e-07 2.88384080803324269491e-08 
         360 3.0953419113501075417e-07 2.78580772021509658901e-08 
         365 2.98909912544545960385e-07 2.69018921290091366993e-08 
         370 2.8855584755450456763e-07 2.59700262799054109543e-08 
         375 2.78472986322177356226e-07 2.50625687689959627221e-08 
         380 2.68661490675562962487e-07 2.41795341608006643739e-08 
         385 2.5912079327507651541e-07 2.33208713947568854605e-08 
         390 2.49849675513546509952e-07 2.24864707962191839105e-08 
         395 2.40846319892487677255e-07 2.16761687903238885707e-08 
         400 2.32108344918624522751e-07 2.08897510426762070476e-08 
         405 2.23632839211677053775e-07 2.01269555290509333839e-08 
         410 2.15416410391820665932e-07 1.93874769352638592721e-08 
         415 2.07455253739466980981e-07 1.86709728365520261707e-08 
         420 1.99745232070725226906e-07 1.79770708863652681716e-08 
         425 1.92281949954452343274e-07 1.73053754959007086447e-08 
429.999999999999943157 1.85060806996391090333e-07 1.665547262967519813e-08 
         435 1.78077025006483426826e-07 1.60269322505835073556e-08 
         440 1.7132565624734122193e-07 1.54193090622607099737e-08 
444.999999999999943157 1.64801587666335891352e-07 1.48321428899702292291e-08 
         450 1.58499555315323416982e-07 1.42649599783791063373e-08 
         455 1.52414175273076517227e-07 1.37172757745768866828e-08 
460.000000000000056843 1.4653998719394883286e-07 1.31885988474553940971e-08 
         465 1.40871499606864353401e-07 1.26784349646177918061e-08 
         470 1.35403225427521358366e-07 1.21862902884769213927e-08 
475.000000000000056843 1.30129701338511173829e-07 1.17116731204660043873e-08 
         480 1.2504549237692484771e-07 1.12540943139232360954e-08 
         485 1.20145189122473518423e-07 1.08130670210226170551e-08 
490.000000000000056843 1.15423406586516269009e-07 1.03881065927864632843e-08 
         495 1.10874791080747916976e-07 9.97873119726731279251e-09 
499.999999999999943157 1.06494036025281073533e-07 9.58446324227529569157e-09 
         505 1.02275902740010384629e-07 9.20483124660093488134e-09 
         510 9.82152399876787875128e-08 8.83937159889108988353e-09 
         515 9.43069970318848225751e-08 8.48762973286963370089e-09 
         520 9.05462282491297561232e-08 8.14916054242167705847e-09 
         525 8.69280910176362666956e-08 7.82352819158726340703e-09 
         530 8.34478409556539203853e-08 7.51030568600885263616e-09 
         535 8.01008287612520365281e-08 7.2090745885126831221e-09 
         540 7.68825011995153721987e-08 6.91942510795638359714e-09 
         545 7.37884062748204906594e-08 6.64095656473384356378e-09 
         550 7.08142005571884492559e-08 6.37327805014696056538e-09 
         555 6.79556558253405086251e-08 6.11600902428064564391e-09 
         560 6.52086627622195017598e-08 5.86877964859975482751e-09 
         565 6.25692308906517789043e-08 5.63123078015866023374e-09 
         570 6.00334854867262855278e-08 5.40301369380536586294e-09 
         575 5.75976631844625594947e-08 5.18378968660162979204e-09 
         580 5.52581080904721372557e-08 4.97322972814249235301e-09 
